Input,Output,Time,Delta_t,TrueState_1,TrueState_2
-0.327173754587643,0.0283086410558039,0.449066090590276,0,-0.029651590312453,-0.122934116157323
0.342807874433681,-0.156691446506674,1.0201427119367,0.571076621346428,-0.122032737632856,-0.180069052974855
-0.0860153746285989,-0.096063941572149,1.39246089415285,0.372318182216147,-0.143019098107469,0.0623626278301155
-0.678228822297303,-0.0992637429231191,1.54624957320702,0.153788679054166,-0.131563326371665,0.0857274265856706
-0.223881020857587,-0.142542384894648,1.71312307909988,0.166873505892859,-0.123561519213161,0.0107740533983935
-0.219986345343104,-0.0174574998471514,1.88736436862001,0.174241289520132,-0.121440748742573,0.0134072279040739
-0.0784737149310761,-0.220335230389278,2.04660496082202,0.159240592202008,-0.119124328880922,0.0155350169815623
1.16593550617653,-0.107324810794628,2.18773775434649,0.141132793524473,-0.115472113855316,0.0358109587847595
-0.345846358419824,-0.141640937115337,2.26274535235622,0.0750075980097304,-0.108963502697491,0.136937072571416
-1.24857506211708,-0.0194097804412391,2.61548491949065,0.352739567134429,-0.0738485671925629,0.0602788471180434
1.49339640432684,-0.101132417284308,2.66548491949065,0.0499999999999998,-0.0722386104322819,0.00432596537031061
0.731455873272496,-0.0428983055500715,2.80658101704364,0.141096097552994,-0.0557789420552666,0.225597306718427
-1.10307762124026,-0.0401757265401481,3.06535604018041,0.258775023136771,0.024515963854921,0.384590157029199
0.71977856987782,0.0405318079058087,3.19019603149932,0.12483999131891,0.0620487837488479,0.216888361952104
0.58847714659486,0.0635450329617959,3.24019603149932,0.0499999999999998,0.0734876026527352,0.240377792016166
-1.47428125390376,0.171777222474948,3.56521637560413,0.325020344104806,0.164810064051279,0.309752729851227
-1.05621360533404,0.0145391865274505,3.70386800439912,0.138651628794991,0.189146317076889,0.0432461868538773
0.174102829688941,0.242789707444727,4.00019649688016,0.296328492481034,0.141591989747181,-0.349735433891174
-0.115818124383617,-0.0514372512720452,4.39301865163579,0.392822154755638,0.0154770277175437,-0.278147511127783
-1.40077646856987,-0.0532487111822762,4.74371314030042,0.350694488664629,-0.0787225470659755,-0.248883753081272
0.0167463149243028,-0.477470849848832,5.39638995331106,0.652676813010637,-0.420629916855999,-0.698395633410278
-1.68177121435496,-0.513955372029709,5.69100706927848,0.294617115967423,-0.571501134790581,-0.320255343247754
-2.42596437364697,-0.679192783995371,6.18916927892298,0.498162209644496,-0.760501205110676,-0.403430236589378
-0.916324711544434,-0.807428146710961,6.45113201745104,0.261962738528061,-0.886705435702091,-0.545947715008664
-0.90033641394345,-1.09652834910395,6.57352038702046,0.122388369569424,-0.944922438647721,-0.404454126464217
-0.242807011440539,-1.02515350596417,6.86801502383431,0.294494636813852,-1.01220826080146,-0.0545149803485181
